A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,wetland_label
-1245,-2679,384,984,1476,629,1663,842,1358,-842,-325,-1417,-1860,74,517,22,-1476,384,-157,1663,-669,-669,354,1190,1301,2519,-325,-1537,3278,-629,-1190,-1137,-669,888,-448,1190,-1537,-842,-1860,797,2069,325,984,-517,-842,-103,-246,-325,1537,797,-2214,2141,-384,222,1998,-1417,-49,-384,-797,88,1301,-1860,-753,-1301,0
-753,-1301,-2288,-2214,-888,74,591,1476,1137,482,842,-984,271,-1417,177,-177,415,-842,842,61,797,1998,-984,2141,-1358,-1600,553,-2599,1727,-1537,-842,3278,1190,-711,-1358,39,448,271,199,888,-1137,-1727,1190,-74,157,2141,-1793,-74,-753,-935,222,222,-1417,-1085,354,-15,-325,1358,-1085,-325,448,-1998,448,2844,0
753,-935,-177,-2214,-1417,-1537,-222,2679,448,-553,482,984,-842,591,-1537,-1663,-1137,-30,2288,-448,1245,-984,-1034,-1034,30,1537,-88,753,2288,74,1034,1301,61,1476,-384,1727,797,297,-482,842,-2214,-591,-1537,1860,711,1476,-448,-1476,1600,-1663,-935,-753,842,-1600,553,2288,1537,1860,-1301,157,-797,842,1537,1358,0
-888,553,-984,1860,384,-1245,1034,1417,1929,-177,1034,-415,-2141,297,222,553,669,61,-1727,1245,-629,-1190,1137,1537,1663,1537,-1358,-1998,1137,1417,-2679,984,2141,1929,138,-325,-1085,629,-2214,-553,591,1085,1663,-753,-1793,177,-5,-553,2214,103,-1245,199,935,1998,2069,-384,629,-797,-553,-1358,1137,-1301,415,-711,0
-797,-1476,-2441,-2844,-669,-177,591,1245,1727,384,842,-482,-271,-1663,984,-1137,1085,-935,1085,103,888,2679,-1417,1600,-1358,-1301,271,-3368,935,-1860,-842,2761,1793,-1476,-984,-74,669,246,482,629,-222,-1358,797,222,199,1537,-1034,415,-517,-271,0,325,-711,-669,-271,-384,-935,935,-1245,325,246,-1537,61,2599,0
-384,-1537,-1727,-591,354,711,448,1727,842,669,1417,-842,-482,-1417,888,-354,842,-984,-482,39,297,1190,-88,2364,-1537,-797,246,-2679,1476,-553,-2214,2761,1085,-629,-1085,222,984,-669,-138,2141,-354,-1860,2069,-88,-669,1929,-1600,984,-1085,-984,-384,1245,-935,157,30,-669,-669,1793,-103,-354,74,-2214,984,3014,0
1085,246,-325,-711,1663,669,753,1137,-669,-297,1085,103,-1417,-753,842,-297,222,482,-354,888,-482,-1929,1085,-448,1600,1301,-415,-629,553,1537,1034,3553,3553,1537,753,1190,-711,629,-1929,3188,-1793,797,354,-1860,-199,711,325,-1137,-797,-591,935,-415,415,2214,1793,354,-1358,-1860,-1663,-271,354,415,-517,177,0
-2214,-1663,-1663,15,384,-1137,553,2141,61,-271,1034,-629,-354,591,-1929,103,-2364,1358,-199,1600,669,177,-1085,1301,1998,-384,1034,-384,297,415,-753,88,591,1245,-325,1727,-2288,-1600,-1245,-1190,-842,711,384,-591,-553,553,1600,-1301,1476,-1793,-2928,246,1600,-2364,1417,984,354,517,-517,448,1417,-1793,-984,-1663,0
-669,-1245,-2214,-1998,-711,-88,753,1727,842,482,842,-1085,199,-1476,-74,-103,325,-842,711,157,753,1793,-888,1998,-1663,-1600,797,-2599,1663,-1600,-935,3188,1137,-482,-1190,39,384,49,-49,517,-1137,-2069,1245,157,-157,2214,-1663,177,-1085,-1245,271,246,-1537,-1190,246,-199,-9,1358,-842,-482,297,-1998,157,3014,0
-1476,-297,935,-2519,1727,984,2141,-591,-5,61,517,591,-1793,1860,-1793,753,-1085,415,384,-177,-711,-157,888,1358,482,246,138,138,1537,-1358,482,-935,2928,591,-935,2214,-1860,-753,-384,1476,-88,-120,591,-1190,-753,-1417,1301,1085,2364,-2141,-888,842,199,-1137,2844,-842,-1245,-1085,-984,-842,-1190,-2069,74,74,0
